,O,H,L,C,V,UD,委買張數,委買筆數,委賣張數,委賣筆數,自營cbc,自營cbv,自營csc,自營csv,自營cbsc,自營cbsv,自營cbcoi,自營cbvoi,自營cscoi,自營csvoi,自營cbscoi,自營cbsvoi,自營pbc,自營pbv,自營psc,自營psv,自營pbsc,自營pbsv,自營pbcoi,自營pbvoi,自營pscoi,自營psvoi,自營pbscoi,自營pbsvoi,外資cbc,外資cbv,外資csc,外資csv,外資cbsc,外資cbsv,外資cbcoi,外資cbvoi,外資cscoi,外資csvoi,外資cbscoi,外資cbsvoi,外資pbc,外資pbv,外資psc,外資psv,外資pbsc,外資pbsv,外資pbcoi,外資pbvoi,外資pscoi,外資psvoi,外資pbscoi,外資pbsvoi,自營bc,自營bv,自營sc,自營sv,自營bsc,自營bsv,自營oibc,自營oibv,自營oisc,自營oisv,自營oibsc,自營oibsv,外資bc,外資bv,外資sc,外資sv,外資bsc,外資bsv,外資oibc,外資oibv,外資oisc,外資oisv,外資oibsc,外資oibsv,opwcp,opwp,opmcp,opmp
20160112,7807.93,7851.81,7732.11,7768.45,4761853.0,-19.97,107809.0,604145.0,157232.0,2583330.0,201699,346516,190661,332415,11038,14101,143533,159082,147682,98773,-4149,60309,202633,558065,206239,551690,-3606,6375,105457,928606,130878,1103528,-25421,-174922,34489,87682,31904,87548,2585,134,120742,74881,77007,52364,43735,22517,40183,148134,48747,206309,-8564,-58176,95251,1318743,73663,1291424,21588,27319,27813,43044592,29760,46073185,-1947,-3028593,7533,11551617,10783,16539131,-3250,-4987514,50954,78859141,49406,76477908,1548,2381233,42822,65845953,21988,33780738,20834,32065215,78.5,7750,93.0,7800
20160113,7799.56,7865.98,7786.33,7824.61,4158085.0,56.16,111615.0,632441.0,151406.0,2547035.0,259280,462554,256190,470262,3090,-7708,124564,241616,113339,199330,11225,42286,260015,571121,275019,674120,-15004,-102999,86033,658362,111264,897229,-25231,-238867,54766,137804,59041,175057,-4275,-37253,119883,101054,82557,111378,37326,-10324,58538,155236,67729,214973,-9191,-59737,84932,1091615,83664,1141129,1268,-49514,34708,54091268,33422,52066004,1286,2025264,8970,13943326,10914,16959551,-1944,-3016225,53652,83606931,51048,79547088,2604,4059843,44399,69155631,21033,32721016,23366,36434615,14.1,7800,140.1,7800
20160114,7752.09,7752.09,7662.34,7742.88,4261678.0,-81.73,122113.0,718337.0,150397.0,2597447.0,218803,516227,223422,524472,-4619,-8245,155211,258533,148665,232763,6546,25770,194054,716456,195826,729106,-1772,-12650,117824,849397,144830,1158425,-27006,-309028,59289,196349,48670,173925,10619,22424,132066,106147,84075,91122,47991,15025,60003,291514,57051,275509,2952,16005,91481,1262627,87260,1315230,4221,-52603,28494,43739480,32000,49097154,-3506,-5357674,8459,12989730,13702,21064725,-5243,-8074995,52091,79981589,51836,79585537,255,396052,46563,71692512,22915,35232516,23648,36459996,249.0,7750,413.0,7700
20160115,7809.0,7842.34,7708.66,7762.01,4214150.0,19.13,111544.0,664296.0,154638.0,2654828.0,211798,451127,236698,467000,-24900,-15873,155436,185894,173803,159141,-18367,26753,208095,640681,220301,652981,-12206,-12300,109566,904090,148785,1222229,-39219,-318139,68089,205770,58544,194251,9545,11519,143494,97316,85895,74722,57599,22594,84860,336516,86856,369706,-1996,-33189,96656,1345659,94433,1433398,2223,-87739,32634,50349022,30237,46632033,2397,3716989,9453,14431660,12383,18909585,-2930,-4477925,60065,92619121,60578,93495983,-513,-876862,46445,71045069,23234,35487100,23211,35557969,204.0,7750,213.0,7800
20160118,7678.67,7834.25,7627.89,7811.18,4541312.0,49.17,100007.0,594348.0,164280.0,3029402.0,284141,601018,298111,575836,-13970,25182,153491,292993,186089,269961,-32598,23032,315027,671807,312260,604983,2767,66825,108386,602602,144857,750985,-36471,-148383,72009,222924,62913,213714,9096,9210,152272,168188,85672,101508,66600,66680,96755,218034,76628,198308,20127,19726,105118,984927,82763,1026179,22355,-41252,48588,74896255,46104,71065798,2484,3830457,10680,16617454,10670,16588636,10,28818,94318,145223057,93149,143579887,1169,1643170,50908,79311807,25800,40149205,25108,39162602,112.0,7800,215.0,7800
20160119,7816.45,7854.88,7786.77,7854.88,4383778.0,43.70,127535.0,706611.0,139960.0,2528716.0,158185,275475,172988,275276,-14803,198,141655,305008,189146,309863,-47491,-4855,182408,293380,172980,269928,9428,23451,121198,523433,148184,635068,-26986,-111635,50708,123070,50852,133166,-144,-10096,152013,186946,85556,119704,66457,67242,61139,157687,48509,115090,12630,42596,116955,905869,81917,906469,35038,-600,34109,53189355,30010,46799716,4099,6389639,12751,19980106,8653,13525679,4098,6454427,69198,107800664,77133,120198822,-7935,-12398158,49044,76851215,32106,50297106,16938,26554109,71.5,7850,73.0,7900
20160120,7835.17,7835.17,7687.6,7699.12,4952606.0,-155.76,130412.0,742909.0,145355.0,2674786.0,283306,388910,295646,428018,-12340,-39108,62864,132205,55803,89728,7061,42477,256576,582555,272401,701311,-15825,-118756,45458,441906,59372,599117,-13914,-157211,37269,75609,33075,78890,4194,-3281,70654,71553,53037,60089,17617,11464,46155,156987,42393,163308,3762,-6321,53090,916026,56744,979024,-3654,-62998,51596,79547910,53571,82602171,-1975,-3054262,4848,7305906,7437,11239252,-2589,-3933346,65375,100509781,65754,101156381,-379,-646599,36852,55878786,20380,30858609,16472,25020177,4.1,7700,78.2,7700
20160121,7713.17,7748.37,7664.01,7664.01,4189147.0,-35.11,107085.0,618926.0,165048.0,2871474.0,155970,406969,133193,385913,22777,21055,97917,202238,68206,144940,29711,57298,166990,527853,159544,555640,7446,-27786,78054,481707,84457,647840,-6403,-166133,45294,152790,37006,134841,8288,17949,79175,83350,53308,59079,25867,24271,62361,237211,48877,218798,13484,18414,69492,914570,59580,950779,9912,-36209,26051,39872136,26776,40969429,-725,-1097293,4708,7105479,8025,12152978,-3317,-5047499,62550,95739822,57309,87722287,5241,8017534,40147,61017547,17318,26264088,22829,34753459,196.0,7650,193.0,7700
20160122,7729.01,7774.12,7706.14,7756.18,3753026.0,92.17,119124.0,708437.0,156384.0,2620952.0,139589,348196,137976,348051,1613,145,108328,317592,77110,240165,31218,77427,171312,403176,151652,394766,19660,8409,106089,363939,92790,442721,13299,-78782,43831,126395,38155,119964,5676,6431,86133,117773,54576,78919,31557,38854,51729,146218,43392,141710,8337,4508,79939,716389,61696,742727,18243,-26338,22797,35078993,22530,34658198,267,420795,5040,7742924,8222,12676111,-3182,-4933187,53225,81867204,52028,80044300,1197,1822904,42547,65820498,18439,28468337,24108,37352161,139.0,7750,133.0,7800
20160125,7813.73,7899.66,7813.73,7894.15,3897490.0,137.97,119449.0,702865.0,134721.0,2765010.0,132043,347675,139361,337576,-7318,10099,105998,393408,81907,285875,24091,107533,150848,309535,172588,294945,-21740,14590,108680,313405,117234,335114,-8554,-21709,56204,176794,48998,155169,7206,21626,98954,160005,60158,95749,38796,64256,48771,125043,47599,123858,1172,1185,84189,598671,64818,614640,19371,-15969,22729,35630226,21834,34222879,895,1407346,5103,7925979,7430,11574638,-2327,-3648659,42696,66966105,42849,67203538,-153,-237432,43176,67544551,19106,29834211,24070,37710340,87.0,7900,161.0,7900
